Date,Open,High,Low,Close,Volume
2024-12-11,14.25,14.42,12.01,13.3499,450213
2024-12-12,13.86,13.99,13.3801,13.6,345422
2024-12-13,13.8,13.8,11.4034,12.03,346266
2024-12-16,12.06,12.55,10.67,10.67,286621
2024-12-17,10.7,10.8,9.26,9.57,252754
2024-12-18,9.25,9.66,8.15,8.31,221886
2024-12-19,8.2,8.4772,7.6114,8.36,111283
2024-12-20,8.78,8.99,8.08,8.19,94865
2024-12-23,8.44,8.8,6.55,6.89,140447
2024-12-24,7.0,8.0,6.8,7.7,94651
2024-12-26,7.7,8.6,7.7,8.41,159697
2024-12-27,8.5,8.695,8.2692,8.5,55452
2024-12-30,9.26,9.28,8.7598,8.86,347081
2024-12-31,9.19,9.19,8.77,8.89,92347
2025-01-02,9.2,9.28,8.4,8.5,85318
2025-01-03,8.75,8.9099,8.5,8.64,52421
2025-01-06,9.0,9.03,8.65,8.91,114020
2025-01-07,8.96,9.04,8.61,8.89,99672
2025-01-08,8.79,8.95,8.6501,8.9,100110
2025-01-10,8.95,8.97,8.6,8.73,118814
2025-01-13,8.75,8.9,6.85,7.2,186041
2025-01-14,7.96,8.18,7.405,7.72,74155
2025-01-15,8.0,9.305,8.0,8.96,102120
2025-01-16,9.0,9.29,8.755,8.94,126709
2025-01-17,9.24,10.188,9.0086,9.82,153768
2025-01-21,10.4,10.52,9.02,9.15,186018
2025-01-22,9.15,9.91,9.04,9.57,105430
2025-01-23,9.89,9.89,9.33,9.56,88757
2025-01-24,9.74,9.898,9.41,9.55,62854
2025-01-27,9.44,9.45,8.71,9.02,99286
2025-01-28,9.02,9.1604,8.69,8.87,32963
2025-01-29,8.93,9.1425,8.41,8.51,33660
2025-01-30,8.55,9.345,8.3826,8.9,55192
2025-01-31,8.85,8.97,8.5,8.56,30594
2025-02-03,8.4,8.615,8.16,8.16,42646
2025-02-04,8.08,8.47,7.8012,8.42,64696
2025-02-05,8.4,8.44,7.85,7.86,56875
2025-02-06,7.88,8.25,7.88,7.9,41527
2025-02-07,8.05,8.1498,7.32,7.5,110815
2025-02-10,7.53,7.79,7.51,7.51,31862
2025-02-11,7.59,7.67,7.52,7.56,33358
2025-02-12,7.55,7.59,6.9,7.03,111590
2025-02-13,7.06,7.5,7.06,7.5,33547
2025-02-14,7.5,7.702,7.11,7.18,35967
2025-02-18,7.19,7.35,7.0,7.27,52863
2025-02-19,7.27,7.4001,7.0227,7.03,34293
2025-02-20,7.11,7.175,6.81,6.82,28166
2025-02-21,6.95,7.001,6.32,6.32,55150
2025-02-24,6.36,6.4,5.99,6.02,48524
